id,latitude,longitude,street_count,type
1499068989,60.0246189,30.3850202,4,walk
1499069006,60.0246505,30.3804105,3,walk
1499069007,60.0246505,30.3840254,3,walk
1499069009,60.0246512,30.3825931,4,walk
1499069015,60.0246834,30.3747404,3,walk
1499069017,60.0247041,30.3834251,4,walk
1499069031,60.0247178,30.3724573,3,walk
1499069035,60.0247388,30.3842424,4,walk
1499069041,60.0247502,30.3719057,3,walk
1499069053,60.0247516,30.3761604,4,walk
1499069058,60.0247655,30.3801656,4,walk
1499069106,60.0248301,30.3837406,4,walk
1499069108,60.0248445,30.3717498,3,walk
1499069114,60.0248589,30.3845377,3,walk
1499069133,60.0249014,30.3718748,3,walk
1499069137,60.024951,30.3707334,3,walk
1499069142,60.0250072,30.3834433,4,walk
1499069155,60.0250201,30.3721351,3,walk
1499069160,60.0250547,30.3775317,3,walk
1499069183,60.0251239,30.3711045,3,walk
1499069185,60.0251338,30.3770437,3,walk
1499069189,60.0251541,30.3772908,3,walk
1499069192,60.0251583,30.3840812,3,walk
1499069201,60.0251669,30.3768368,4,walk
1499069203,60.0251715,30.3774765,4,walk
1499069206,60.0251748,30.3724711,3,walk
1499069242,60.025174,30.3840166,3,walk
1499069245,60.0252253,30.3781473,3,walk
1499069266,60.0252869,30.3767779,3,walk
1499069267,60.0252912,30.3778161,4,walk
1499069268,60.0252927,30.3760496,3,walk
1499069271,60.0252989,30.3746396,4,walk
1499069293,60.0253362,30.3773986,3,walk
1499069295,60.0253289,30.3753208,3,walk
1499069332,60.0253635,30.3773857,3,walk
1499069369,60.0254131,30.3765826,4,walk
1499069439,60.0255587,30.3724647,3,walk
1499069454,60.0255779,30.3773089,3,walk
1499069483,60.0256421,30.377286,3,walk
1499069486,60.0256763,30.3788688,3,walk
1499069497,60.0256798,30.3790303,3,walk
1499069506,60.0256842,30.3792336,3,walk
1499069510,60.0258206,30.3747826,6,walk
1499069511,60.025704,30.3727896,3,walk
1499069520,60.025704,30.3801751,3,walk
1499069528,60.0257458,30.3802254,3,walk
1499069530,60.0257632,30.3707948,3,walk
1499069534,60.0257897,30.3772331,3,walk
1499069554,60.0258442,30.3731031,3,walk
1499069556,60.0258467,30.370984,3,walk
1499069570,60.0258727,30.378581,3,walk
1499069578,60.0259234,30.3732803,3,walk
1499069590,60.0259544,30.3704425,3,walk
1499069602,60.0259869,30.3734223,3,walk
1499069605,60.026062,30.3754801,3,walk
1499069636,60.0260731,30.3754168,4,walk
1499069655,60.0260928,30.3800521,3,walk
1499069659,60.0260951,30.377368,3,walk
1499069682,60.0261275,30.3744635,4,walk
1499069684,60.0261302,30.3737427,3,walk
1499069725,60.0261704,30.3755685,3,walk
1499069728,60.0261912,30.3796659,3,walk
1499069732,60.0262119,30.3801674,3,walk
1499069735,60.0262559,30.3745029,3,walk
1499069739,60.0262882,30.3792856,3,walk
1499069766,60.0263448,30.3758002,3,walk
1499069768,60.0263164,30.3797872,3,walk
1499069770,60.0263234,30.3779023,3,walk
1499069798,60.0263873,30.378897,3,walk
1499069803,60.0264062,30.375889,3,walk
1499069807,60.0263965,30.3753151,3,walk
1499069811,60.026419,30.3794133,3,walk
1499069827,60.0265247,30.3790285,3,walk
1499069830,60.0265441,30.3766661,5,walk
1499069833,60.0265338,30.3704345,3,walk
1499069847,60.0265541,30.3750049,3,walk
1499069850,60.0266622,30.3762471,3,walk
1499069881,60.0267673,30.3754474,3,walk
1499069887,60.0267926,30.3753476,3,walk
1499069906,60.0268346,30.3771249,3,walk
1499069910,60.0268548,30.3715853,3,walk
1499069933,60.0268895,30.3706664,3,walk
1499069934,60.0269363,30.3748726,3,walk
1499069948,60.026931,30.3765204,3,walk
1499069957,60.0269698,30.3670581,3,walk
1499069961,60.0269768,30.3765647,3,walk
1499069985,60.0270105,30.3671818,3,walk
1499070004,60.0270348,30.3675863,3,walk
1499070025,60.0270711,30.3745654,4,walk
1499070038,60.0270196,30.371347,3,walk
1499070057,60.0272,30.3753494,3,walk
1499070068,60.0272283,30.3715392,4,walk
1499070076,60.0272601,30.372184,3,walk
1499070124,60.0274221,30.3719147,3,walk
1499070128,60.027414,30.3750003,3,walk
1499070140,60.027479,30.3684792,3,walk
1499070144,60.0275154,30.37512,4,walk
1499070161,60.0275246,30.3676594,3,walk
1499070167,60.0275423,30.367699,3,walk
1499070191,60.0276131,30.3679242,3,walk
1499070200,60.0277074,30.3674316,3,walk
1499070203,60.027743,30.373197,4,walk
1499070213,60.0277401,30.3682056,3,walk
1499070220,60.0277893,30.3664771,3,walk
1499070228,60.0278735,30.3671493,3,walk
1499070235,60.0279128,30.3735338,4,walk
1499070268,60.0280992,30.3677688,3,walk
1499070284,60.0281393,30.3669876,3,walk
1499070288,60.0282374,30.3688471,3,walk
1499070306,60.0283358,30.369081,3,walk
1499070308,60.0283658,30.3669582,4,walk
1499070315,60.0284142,30.3686636,3,walk
1499070317,60.0284713,30.3686561,3,walk
1499070332,60.0284428,30.3693033,3,walk
1499070336,60.0284784,30.3694198,3,walk
1499070338,60.0285142,30.3685601,3,walk
1499070339,60.0285207,30.3700739,3,walk
1499070341,60.0285383,30.3682812,3,walk
1499070352,60.0285772,30.3669099,4,walk
1499070357,60.0286052,30.367337,4,walk
1499070371,60.0286917,30.368756,3,walk
1499070373,60.0286969,30.3679827,3,walk
1499070383,60.0287692,30.366878,3,walk
1499070397,60.0287992,30.3668726,3,walk
1499070404,60.0287933,30.3678366,4,walk
1499070465,60.0294067,30.3675363,3,walk
1499070469,60.0295288,30.3661303,3,walk
1499070471,60.0295659,30.3669063,3,walk
1509604735,60.0176966,30.3745965,4,walk
1530017311,60.0003647,30.374713,3,walk
1530017313,60.0004588,30.3760057,4,walk
1530017316,60.0004782,30.375888,3,walk
1541395882,60.0111082,30.3822319,3,walk
1545699060,60.0181057,30.3859316,3,walk
1545699063,60.0217643,30.3864691,3,walk
1545699064,60.0219323,30.389347,3,walk
1545699077,60.0224996,30.3872714,3,walk
1545699087,60.0178232,30.3858757,3,walk
1545699088,60.0219735,30.3856366,3,walk
1545699090,60.0212023,30.3885282,3,walk
1545699102,60.0206069,30.3847883,3,walk
1545699103,60.0193492,30.3852913,3,walk
1545699104,60.0233061,30.3881363,3,walk
1545699107,60.0207745,30.3844172,3,walk
1545699109,60.0222351,30.3882303,4,walk
1545699112,60.0220363,30.3889575,4,walk
1545699122,60.0217477,30.3900284,4,walk
1545699125,60.0195275,30.3850655,3,walk
1545699128,60.0172673,30.3866966,3,walk
1545699134,60.0204612,30.3847471,3,walk
1545699141,60.0189414,30.3832773,3,walk
1545699142,60.0183359,30.3859317,3,walk
1545699150,60.019443,30.3850403,3,walk
1545699158,60.0190427,30.3850124,3,walk
1545699161,60.020177,30.3857557,3,walk
1545699170,60.0198024,30.3840629,3,walk
1545699178,60.015974,30.3855657,3,walk
1545699179,60.021483,30.3874498,3,walk
1545699181,60.0235933,30.3871231,3,walk
1545699186,60.023129,30.38754,4,walk
1545703158,60.0199761,30.3880625,4,walk
1545703160,60.0195638,30.3838347,3,walk
1545703163,60.0191865,30.3844144,4,walk
1545703167,60.0199521,30.3881485,3,walk
1545703170,60.0191851,30.3834764,3,walk
1545703171,60.0191775,30.3865716,3,walk
1545703175,60.0205023,30.3882737,3,walk
1545703178,60.0190769,30.3869962,4,walk
1545703179,60.0214511,30.3875578,3,walk
1545707837,60.0201853,30.3895056,4,walk
1545707838,60.0187384,30.3879451,4,walk
1545707840,60.0230143,30.3905659,3,walk
1545707842,60.0189961,30.3858002,3,walk
1545707844,60.0221162,30.3895924,3,walk
1545707845,60.0189375,30.3881727,4,walk
1545707847,60.0197285,30.3889592,4,walk
1545707851,60.0192458,30.3884959,4,walk
1545707853,60.0233568,30.3893255,3,walk
1545707855,60.0216449,30.391247,4,walk
1545707857,60.02153,30.3911323,3,walk
1545707858,60.0180319,30.3870378,5,walk
1545707859,60.0190312,30.3874815,3,walk
1545707860,60.0188799,30.3863198,3,walk
1545707861,60.0207922,30.3901694,4,walk
1545707863,60.0191568,30.3884023,4,walk
1545707866,60.0229292,30.3909965,3,walk
1545710147,60.0182314,30.3863125,4,walk
1545710154,60.0176831,30.3864386,4,walk
1545710155,60.0221495,30.3917916,4,walk
1545710158,60.0218528,30.3905059,4,walk
1545710159,60.0209368,30.3895514,4,walk
1545710165,60.0231721,30.3912677,4,walk
1545710168,60.0189526,30.3868929,3,walk
1545710187,60.0231175,30.3914653,5,walk
1545710189,60.0205871,30.38995,3,walk
1545710193,60.017361,30.3865393,5,walk
1545710198,60.0201362,30.3894466,3,walk
1545710200,60.0206468,30.3892577,4,walk
1545710202,60.0202553,30.389583,3,walk
1545710207,60.0199946,30.388176,3,walk
1545710209,60.0210959,30.3889283,3,walk
1545734088,60.025284,30.3887569,3,walk
1545734105,60.0205994,30.3848804,3,walk
1545734129,60.0249829,30.3872255,3,walk
1545734131,60.0176033,30.3867615,4,walk
1545734134,60.024512,30.3879176,3,walk
1545734140,60.0249771,30.3884233,4,walk
